Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2020-10-15,43723,45116,43679,44691
2020-10-16,44686,44959,43708,43949
2020-10-19,44472,45883,44300,45700
2020-10-20,45699,46422,45447,46025
2020-10-21,46036,50012,45901,49902
2020-10-22,49884,51058,49125,50886
2020-10-23,50890,51041,49182,49797
2020-10-26,50240,51326,49649,50630
2020-10-27,50631,53528,50549,53475
2020-10-28,53481,53957,50845,52305
2020-10-29,52302,54113,51363,53188
2020-10-30,53154,54086,52109,53931
2020-11-02,54217,54806,52257,53678
2020-11-03,53683,53874,52467,53594
2020-11-04,53581,55235,52974,54689
2020-11-05,54675,59569,54502,59548
2020-11-06,59574,61222,57731,58721
2020-11-09,58812,59471,56326,57812
2020-11-10,57837,58923,57412,58579
2020-11-11,58568,60848,58198,60191
2020-11-12,60180,62115,58937,61694
2020-11-13,61720,62733,60614,61403
2020-11-16,60371,63729,60194,63080
2020-11-17,63051,67570,62598,66580
2020-11-18,66605,69814,65184,67228
2020-11-19,67216,68719,65805,67350
2020-11-20,67321,70791,66740,70203
2020-11-23,70170,70358,67849,69570
2020-11-24,69546,73083,68375,71789
2020-11-25,71804,73157,69917,70275
2020-11-26,70354,70785,61107,64614
2020-11-27,64645,65669,61834,64053
2020-11-30,68110,74067,68095,73142
2020-12-01,73172,74534,68318,69804
2020-12-02,69850,71495,67595,70683
2020-12-03,70731,72079,69766,71697
2020-12-04,71696,71955,68833,69923
2020-12-07,70566,71551,69724,70664
2020-12-08,70667,71215,68157,68159
2020-12-09,67877,68279,64669,68112
2020-12-10,68107,68357,65365,66865
2020-12-11,66854,67027,64469,66009
2020-12-14,69983,70926,69503,70510
2020-12-15,70507,71447,69584,71142
2020-12-16,71150,78011,70538,77783
2020-12-17,77857,85759,77314,83322
2020-12-18,83140,84268,81404,83185
2020-12-21,85973,88910,81638,85140
2020-12-22,85166,87941,82626,87932
2020-12-23,87871,89008,83730,86034
2020-12-24,85987,86691,83743,86268
2020-12-28,97749,100859,96316,98711
2020-12-29,98702,100647,95003,100155
2020-12-30,100023,107951,99820,107060
