Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-06-21,4.25312,4.26663,4.2514,4.2542
2019-06-24,4.25692,4.25697,4.2511,4.25209
2019-06-25,4.25205,4.2586,4.25018,4.25554
2019-06-26,4.25562,4.26611,4.25485,4.26063
2019-06-27,4.26082,4.26415,4.25035,4.2513
2019-06-28,4.25115,4.25397,4.24282,4.24548
2019-07-01,4.24399,4.24739,4.23731,4.243
2019-07-02,4.24158,4.24649,4.23882,4.24291
2019-07-03,4.24291,4.24537,4.23837,4.23996
2019-07-04,4.24002,4.24457,4.23801,4.24232
2019-07-05,4.24251,4.25546,4.24162,4.24943
2019-07-08,4.25146,4.25917,4.24904,4.25689
2019-07-09,4.25679,4.27454,4.25459,4.26972
2019-07-10,4.26966,4.27569,4.26448,4.26581
2019-07-11,4.26608,4.27113,4.26438,4.26828
2019-07-12,4.26837,4.27129,4.26599,4.27095
2019-07-15,4.26968,4.27034,4.25958,4.26098
2019-07-16,4.26088,4.26259,4.25498,4.25611
2019-07-17,4.25629,4.26673,4.25593,4.26337
2019-07-18,4.26293,4.26812,4.25338,4.25429
2019-07-19,4.25429,4.2603,4.24784,4.2508
2019-07-22,4.25029,4.25427,4.2455,4.24663
2019-07-23,4.24663,4.25861,4.24575,4.25521
2019-07-24,4.2553,4.26069,4.25027,4.25237
2019-07-25,4.25235,4.26159,4.24677,4.25727
2019-07-26,4.25739,4.2768,4.25677,4.27428
2019-07-29,4.27283,4.28991,4.27053,4.2886
2019-07-30,4.2888,4.29998,4.28754,4.29744
2019-07-31,4.29756,4.29997,4.28388,4.29007
2019-08-01,4.29006,4.30966,4.28574,4.30756
2019-08-02,4.30724,4.31423,4.29809,4.30718
2019-08-05,4.30746,4.32183,4.30686,4.321
2019-08-06,4.3209,4.32232,4.30797,4.31554
2019-08-07,4.31557,4.32469,4.31452,4.32023
2019-08-08,4.32032,4.32583,4.31739,4.32123
2019-08-09,4.3214,4.32621,4.3175,4.32539
2019-08-12,4.3243,4.33013,4.3223,4.32933
2019-08-13,4.32925,4.34648,4.32695,4.3335
2019-08-14,4.33357,4.37685,4.33273,4.37263
2019-08-15,4.37285,4.39705,4.36558,4.37426
2019-08-16,4.37445,4.37447,4.32388,4.33914
2019-08-19,4.33779,4.37767,4.3374,4.36485
2019-08-20,4.36468,4.37068,4.35092,4.35542
2019-08-21,4.35537,4.36149,4.34528,4.34774
2019-08-22,4.34758,4.37805,4.34702,4.35841
2019-08-23,4.35846,4.38301,4.35108,4.37957
2019-08-26,4.37636,4.38178,4.35675,4.36084
2019-08-27,4.36097,4.37845,4.35948,4.37486
2019-08-28,4.37488,4.39241,4.37485,4.39174
2019-08-29,4.39164,4.39957,4.3794,4.38713
2019-08-30,4.38713,4.39099,4.37218,4.37451
2019-09-02,4.37887,4.37887,4.34991,4.36011
2019-09-03,4.36011,4.36959,4.34385,4.34581
2019-09-04,4.34576,4.34875,4.33176,4.34194
2019-09-05,4.34188,4.34975,4.33424,4.34116
2019-09-06,4.3417,4.34557,4.33424,4.34022
2019-09-09,4.33744,4.34153,4.33107,4.3324
2019-09-10,4.33232,4.33859,4.33071,4.33179
2019-09-11,4.33159,4.34231,4.331,4.34006
2019-09-12,4.34005,4.35799,4.3273,4.33656
2019-09-13,4.33639,4.34123,4.31677,4.32719
2019-09-16,4.32203,4.33109,4.32123,4.33045
2019-09-17,4.33063,4.3473,4.33022,4.33525
2019-09-18,4.33522,4.34476,4.33209,4.3405
2019-09-19,4.33862,4.35076,4.33549,4.33742
2019-09-20,4.33788,4.38187,4.33684,4.37564
2019-09-23,4.37533,4.39707,4.37128,4.39153
2019-09-24,4.39157,4.39623,4.37358,4.38024
2019-09-25,4.38024,4.3951,4.3788,4.38114
2019-09-26,4.38101,4.39782,4.37292,4.38599
2019-09-27,4.38599,4.39423,4.37832,4.38441
2019-09-30,4.38039,4.38421,4.36744,4.37094
2019-10-01,4.37122,4.38481,4.36745,4.38181
2019-10-02,4.38185,4.38514,4.3557,4.35764
2019-10-03,4.35761,4.37108,4.3282,4.33373
2019-10-04,4.3336,4.33489,4.31826,4.31933
2019-10-07,4.31947,4.3348,4.31842,4.3292
2019-10-08,4.32924,4.3358,4.31923,4.32092
2019-10-09,4.32139,4.32983,4.31961,4.32206
2019-10-10,4.32223,4.32662,4.30908,4.30997
2019-10-11,4.30992,4.31345,4.29847,4.30176
2019-10-14,4.30515,4.30876,4.29143,4.29523
2019-10-15,4.29516,4.29936,4.28949,4.29181
2019-10-16,4.29175,4.30075,4.28186,4.28363
2019-10-17,4.28363,4.29498,4.27824,4.28485
2019-10-18,4.28544,4.28751,4.27962,4.28118
2019-10-21,4.28245,4.28315,4.27512,4.2761
2019-10-22,4.27639,4.281,4.26754,4.27152
2019-10-23,4.27144,4.28167,4.26929,4.27428
2019-10-24,4.27437,4.28247,4.27148,4.27861
2019-10-25,4.27843,4.28079,4.27252,4.27942
2019-10-28,4.27629,4.28406,4.27018,4.27344
2019-10-29,4.27343,4.27661,4.26361,4.26638
2019-10-30,4.26636,4.27016,4.25614,4.25793
2019-10-31,4.25806,4.26445,4.255,4.26263
2019-11-01,4.26261,4.26373,4.25046,4.25144
2019-11-04,4.25224,4.26928,4.25066,4.26881
2019-11-05,4.26877,4.27154,4.26131,4.26493
2019-11-06,4.26504,4.27424,4.26318,4.26583
2019-11-07,4.26547,4.26803,4.25509,4.25883
2019-11-08,4.25888,4.26831,4.25791,4.26524
2019-11-11,4.26372,4.27676,4.26219,4.27032
2019-11-12,4.27029,4.28339,4.26969,4.28161
2019-11-13,4.28151,4.29345,4.28117,4.28703
2019-11-14,4.28693,4.29704,4.28319,4.28445
2019-11-15,4.28433,4.28771,4.27176,4.27556
2019-11-18,4.27426,4.29666,4.27362,4.29625
2019-11-19,4.29621,4.29625,4.28448,4.2851
2019-11-20,4.28529,4.29719,4.28434,4.29477
2019-11-21,4.29477,4.30027,4.29206,4.29719
2019-11-22,4.29719,4.30028,4.29405,4.29769
2019-11-25,4.29657,4.2998,4.29447,4.29753
2019-11-26,4.29759,4.30837,4.29583,4.30529
2019-11-27,4.30533,4.31333,4.30407,4.30983
2019-11-28,4.30988,4.32486,4.3067,4.31955
2019-11-29,4.31902,4.32848,4.31097,4.31466
2019-12-02,4.31433,4.31638,4.28152,4.2868
2019-12-03,4.28695,4.2915,4.27992,4.28497
